政#セイ ・ ショウ ・ まつりごと ・ まん#politics; government#kanji
議#ギ#deliberation; consultation; debate; consideration#kanji
当#トウ ・ あ.たる ・ あ.たり ・ あ.てる ・ あ.て ・ まさ.に ・ まさ.にべし#hit; right; appropriate; himself#kanji
約#ヤク ・ つづ.まる ・ つづ.める ・ つづま.やか#promise; approximately; shrink#kanji
首#シュ ・ くび#neck; counter for songs and poems#kanji
法#ホウ ・ ハッ ・ ホッ ・ フラン ・ のり#method; law; rule; principle; model; system#kanji
性#セイ ・ ショウ ・ さが#sex; gender; nature#kanji
要#ヨウ ・ い.る ・ かなめ#need; main point; essence; pivot; key to#kanji
制#セイ#system; law; rule#kanji
治#ジ ・ チ ・ おさ.める ・ おさ.まる ・ なお.る ・ なお.す#reign; be at peace; calm down; subdue; quell; govt; cure; heal; rule; conserve#kanji
務#ム ・ つと.める#task; duties#kanji
成#セイ ・ ジョウ ・ な.る ・ な.す ・ -な.す#turn into; become; get; grow; elapse; reach#kanji
期#キ ・ ゴ#period; time; date; term#kanji
取#シュ ・ と.る ・ と.り ・ と.り- ・ とり ・ -ど.り#take; fetch; take up#kanji
都#ト ・ ツ ・ みやこ#metropolis; capital#kanji
和#ワ ・ オ ・ カ ・ やわ.らぐ ・ やわ.らげる ・ なご.む ・ なご.やか#harmony; Japanese style; peace; soften; Japan#kanji
機#キ ・ はた#mechanism; opportunity; occasion; machine; airplane#kanji
平#ヘイ ・ ビョウ ・ ヒョウ ・ たい.ら ・ -だいら ・ ひら ・ ひら-#even; flat; peace#kanji
加#カ ・ くわ.える ・ くわ.わる#add; addition; increase; join; include; Canada#kanji
受#ジュ ・ う.ける ・ -う.け ・ う.かる#accept; undergo; answer (phone); take; get; catch; receive#kanji
続#ゾク ・ ショク ・ コウ ・ キョウ ・ つづ.く ・ つづ.ける ・ つぐ.ない#continue; series; sequel#kanji
進#シン ・ すす.む ・ すす.める#advance; proceed; progress; promote#kanji
数#スウ ・ ス ・ サク ・ ソク ・ シュ ・ かず ・ かぞ.える ・ しばしば ・ せ.める ・ わずらわ.しい#number; strength; fate; law; figures#kanji
記#キ ・ しる.す#scribe; account; narrative#kanji
初#ショ ・ はじ.め ・ はじ.めて ・ はつ ・ はつ- ・ うい- ・ -そ.める ・ -ぞ.め#first time; beginning#kanji
指#シ ・ ゆび ・ さ.す ・ -さ.し#finger; point to; indicate; put into; play (chess); measure (ruler)#kanji
権#ケン ・ ゴン ・ おもり ・ かり ・ はか.る#authority; power; rights#kanji
支#シ ・ ささ.える ・ つか.える ・ か.う#branch; support; sustain; branch radical (no. 65)#kanji
産#サン ・ う.む ・ う.まれる ・ うぶ- ・ む.す#products; bear; give birth; yield; childbirth; native; property#kanji
点#テン ・ つ.ける ・ つ.く ・ た.てる ・ さ.す ・ とぼ.す ・ とも.す ・ ぼち#spot; point; mark; speck; decimal point#kanji
報#ホウ ・ むく.いる#report; news; reward; retribution#kanji
済#サイ ・ セイ ・ す.む ・ -ず.み ・ -ずみ ・ す.まない ・ す.ます ・ -す.ます ・ すく.う ・ な.す ・ わたし ・ わた.る#finish; come to an end; excusable; need not#kanji
活#カツ ・ い.きる ・ い.かす ・ い.ける#lively; resuscitation; being helped; living#kanji
原#ゲン ・ はら#meadow; original; primitive; field; plain; prairie; tundra; wilderness#kanji
共#キョウ ・ とも ・ とも.に ・ -ども#together; both; neither; all; and; alike; with#kanji
得#トク ・ え.る ・ う.る#gain; get; find; earn; acquire; can; may; able to; profit; advantage; benefit#kanji
解#カイ ・ ゲ ・ と.く ・ と.かす ・ と.ける ・ ほど.く ・ ほど.ける ・ わか.る ・ さと.る#unravel; notes; key; explanation; understanding; untie; undo; solve; answer; cancel; absolve; explain; minute#kanji
交#コウ ・ まじ.わる ・ まじ.える ・ ま.じる ・ まじ.る ・ ま.ざる ・ ま.ぜる ・ -か.う ・ か.わす ・ かわ.す ・ こもごも#mingle; mixing; association; coming & going#kanji
資#シ#assets; resources; capital; funds; data; be conducive to; contribute to#kanji
予#ヨ ・ シャ ・ あらかじ.め#beforehand; previous; myself; I#kanji
向#コウ ・ む.く ・ む.い ・ -む.き ・ む.ける ・ -む.け ・ む.かう ・ む.かい ・ む.こう ・ む.こう- ・ むこ ・ むか.い#yonder; facing; beyond; confront; defy; tend toward; approach#kanji
際#サイ ・ きわ ・ -ぎわ#occasion; side; edge; verge; dangerous; adventurous; indecent; time; when#kanji
勝#ショウ ・ か.つ ・ -が.ち ・ まさ.る ・ すぐ.れる ・ かつ#victory; win; prevail; excel#kanji
面#メン ・ ベン ・ おも ・ おもて ・ つら#mask; face; features; surface#kanji
告#コク ・ つ.げる#revelation; tell; inform; announce#kanji
反#ハン ・ ホン ・ タン ・ ホ ・ そ.る ・ そ.らす ・ かえ.す ・ かえ.る ・ -かえ.る#anti-#kanji
判#ハン ・ バン ・ わか.る#judgement; signature; stamp; seal#kanji
認#ニン ・ みと.める ・ したた.める#acknowledge; witness; discern; recognize; appreciate; believe#kanji
参#サン ・ シン ・ まい.る ・ まい- ・ まじわる ・ みつ#nonplussed; three (in documents); going; coming; visiting; visit; be defeated; die; be madly in love; participate; take part in#kanji
利#リ ・ き.く#profit; advantage; benefit#kanji
組#ソ ・ く.む ・ くみ ・ -ぐみ#association; braid; plait; construct; assemble; unite; cooperate; grapple#kanji
信#シン#faith; truth; fidelity; trust#kanji
在#ザイ ・ あ.る#exist; outskirts; suburbs; located in#kanji
件#ケン ・ くだん#affair; case; matter; item#kanji
側#ソク ・ かわ ・ がわ ・ そば#side; lean; oppose; regret#kanji
任#ニン ・ まか.せる ・ まか.す#responsibility; duty; term; entrust to; appoint#kanji
引#イン ・ ひ.く ・ ひ.き ・ ひ.き- ・ -び.き ・ ひ.ける#pull; tug; jerk; admit; install; quote; refer to#kanji
求#キュウ ・ グ ・ もと.める#request; want; wish for; require; demand#kanji
所#ショ ・ ところ ・ -ところ ・ どころ ・ とこ#place#kanji
次#ジ ・ シ ・ つ.ぐ ・ つぎ#next; order; sequence#kanji
昨#サク#yesterday; previous#kanji
論#ロン#argument; discourse#kanji
官#カン#bureaucrat; the government#kanji
増#ゾウ ・ ま.す ・ ま.し ・ ふ.える ・ ふ.やす#increase; add; augment; gain; promote#kanji
係#ケイ ・ かか.る ・ かかり ・ -がかり ・ かか.わる#person in charge; connection; duty; concern oneself#kanji
感#カン#emotion; feeling; sensation#kanji
情#ジョウ ・ セイ ・ なさ.け#feelings; emotion; passion; sympathy; circumstances; facts#kanji
投#トウ ・ な.げる ・ -な.げ#throw; discard; abandon; launch into; join; invest in; hurl; give up; sell at a loss#kanji
示#ジ ・ シ ・ しめ.す#show; indicate; point out; express; display#kanji
変#ヘン ・ か.わる ・ か.わり ・ か.える#unusual; change; strange#kanji
打#ダ ・ ダアス ・ う.つ ・ う.ち- ・ ぶ.つ#strike; hit; knock; pound; dozen#kanji
直#チョク ・ ジキ ・ ジカ ・ ただ.ちに ・ なお.す ・ -なお.す ・ なお.る ・ なお.き ・ す.ぐ#straightaway; honesty; frankness; fix; repair#kanji
両#リョウ ・ てる ・ ふたつ#both; old Japanese coin; counter for carriages (e.g., in a train); two#kanji
式#シキ#style; ceremony; rite; function; method; system; form; expression#kanji
確#カク ・ コウ ・ たし.か ・ たし.かめる#assurance; firm; tight; hard; solid; confirm; clear; evident#kanji
果#カ ・ は.たす ・ はた.す ・ -は.たす ・ は.てる ・ -は.てる ・ は.て#fruit; reward; carry out; achieve; complete; end; finish; succeed#kanji
容#ヨウ ・ い.れる#contain; form; looks#kanji
必#ヒツ ・ かなら.ず#invariably; certain; inevitable#kanji
演#エン#performance; act; play; render; stage#kanji
歳#サイ ・ セイ ・ とし ・ とせ ・ よわい#year-end; age; occasion; opportunity#kanji
争#ソウ ・ あらそ.う ・ いか.でか#contend; dispute; argue#kanji
談#ダン#discuss; talk#kanji
能#ノウ ・ よ.く#ability; talent; skill; capacity#kanji
位#イ ・ くらい ・ ぐらい#rank; grade; throne; crown; about; some#kanji
置#チ ・ お.く ・ -お.き#placement; put; set; deposit; leave behind; keep; employ; pawn#kanji
流#リュウ ・ ル ・ なが.れる ・ なが.れ ・ なが.す ・ -なが.す#current; a sink; flow; forfeit#kanji
格#カク ・ コウ ・ キャク ・ ゴウ#status; rank; capacity; character; case (law, grammar)#kanji
疑#ギ ・ うたが.う#doubt; distrust; be suspicious; question#kanji
過#カ ・ す.ぎる ・ -す.ぎる ・ -す.ぎ ・ す.ごす ・ あやま.つ ・ あやま.ち ・ よ.ぎる#overdo; exceed; go beyond; error#kanji
局#キョク ・ つぼね#bureau; board; office; affair; conclusion; court lady; lady-in-waiting; her apartment#kanji
放#ホウ ・ はな.す ・ -っぱな.し ・ はな.つ ・ はな.れる ・ こ.く ・ ほう.る#set free; release; fire; shoot; emit; banish; liberate#kanji
常#ジョウ ・ つね ・ とこ-#usual; ordinary; normal; regular#kanji
状#ジョウ#status quo; conditions; circumstances; form; appearance#kanji
球#キュウ ・ たま#ball; sphere#kanji
職#ショク ・ ソク#post; employment; work#kanji
与#ヨ ・ あた.える ・ あずか.る ・ くみ.する ・ ともに#bestow; participate in; give; award; impart; provide; cause; gift; godsend#kanji
供#キョウ ・ ク ・ クウ ・ グ ・ そな.える ・ とも ・ -ども#submit; offer; present; serve (meal); accompany#kanji
役#ヤク ・ エキ#duty; war; campaign; drafted labor; office; service; role#kanji
構#コウ ・ かま.える ・ かま.う#posture; build; pretend#kanji
割#カツ ・ わ.る ・ わり ・ わ.り ・ わ.れる ・ さ.く#proportion; comparatively; divide; cut; separate; split#kanji
費#ヒ ・ つい.やす ・ つい.える#expense; cost; spend; consume; waste#kanji
付#フ ・ つ.ける ・ -つ.ける ・ -づ.ける ・ つ.け ・ つ.け- ・ -つ.け ・ -づ.け ・ -づけ ・ つ.く ・ -づ.く ・ つ.き ・ -つ.き ・ -つき ・ -づ.き ・ -づき#adhere; attach; refer to; append#kanji
由#ユ ・ ユウ ・ ユイ ・ よし ・ よ.る#wherefore; a reason#kanji
説#セツ ・ ゼイ ・ と.く#opinion; theory; explanation; rumor#kanji
難#ナン ・ かた.い ・ -がた.い ・ むずか.しい ・ むづか.しい ・ むつか.しい ・ -にく.い#difficult; impossible; trouble; accident; defect#kanji
優#ユウ ・ ウ ・ やさ.しい ・ すぐ.れる ・ まさ.る#tenderness; excel; surpass; actor; superiority; gentleness#kanji
夫#フ ・ フウ ・ ブ ・ おっと ・ それ#husband; man#kanji
収#シュウ ・ おさ.める ・ おさ.まる#income; obtain; reap; pay; supply; store#kanji
断#ダン ・ た.つ ・ ことわ.る ・ さだ.める#severance; decline; refuse; apologize; warn; dismiss; prohibit; decision; judgement; cutting#kanji
石#セキ ・ シャク ・ コク ・ いし#stone#kanji
違#イ ・ ちが.う ・ ちが.い ・ ちが.える ・ -ちが.える ・ たが.う ・ たが.える#difference; differ#kanji
消#ショウ ・ き.える ・ け.す#extinguish; blow out; turn off; neutralize; cancel#kanji
神#シン ・ ジン ・ かみ ・ かん- ・ こう-#gods; mind; soul#kanji
番#バン ・ つが.い#turn; number in a series#kanji
規#キ#standard; measure#kanji
術#ジュツ ・ すべ#art; technique; skill; means; trick; resources; magic#kanji
備#ビ ・ そな.える ・ そな.わる ・ つぶさ.に#equip; provision; preparation#kanji
宅#タク#home; house; residence; our house; my husband#kanji
害#ガイ#harm; injury#kanji
配#ハイ ・ くば.る#distribute; spouse; exile; rationing#kanji
警#ケイ ・ いまし.める#admonish; commandment#kanji
育#イク ・ そだ.つ ・ そだ.ち ・ そだ.てる ・ はぐく.む#bring up; grow up; raise; rear#kanji
席#セキ ・ むしろ#seat; mat; occasion; place#kanji
訪#ホウ ・ おとず.れる ・ たず.ねる ・ と.う#call on; visit; look up; offer sympathy#kanji
乗#ジョウ ・ ショウ ・ の.る ・ -の.り ・ の.せる#ride; power; multiplication; record; counter for vehicles; board; mount; join#kanji
残#ザン ・ サン ・ のこ.る ・ のこ.す ・ そこな.う ・ のこ.り#remainder; leftover; balance#kanji
想#ソウ ・ ソ ・ おも.う#concept; think; idea; thought#kanji
声#セイ ・ ショウ ・ こえ ・ こわ-#voice#kanji
念#ネン#wish; sense; idea; thought; feeling; desire; attention#kanji
助#ジョ ・ たす.ける ・ たす.かる ・ す.ける ・ すけ#help; rescue; assist#kanji
労#ロウ ・ ろう.する ・ いたわ.る ・ いた.ずき ・ ねぎら ・ つか.れる ・ ねぎら.う#labor; thank for; reward for; toil; trouble#kanji
例#レイ ・ たと.える#example; custom; usage; precedent#kanji
然#ゼン ・ ネン ・ しか ・ しか.り ・ しか.し ・ さ#sort of thing; so; if so; in that case; well#kanji
限#ゲン ・ かぎ.る ・ かぎ.り ・ -かぎ.り#limit; restrict; to best of ability#kanji
追#ツイ ・ お.う#chase; drive away; follow; pursue; meanwhile#kanji
商#ショウ ・ あきな.う#make a deal; selling; dealing in; merchant#kanji
葉#ヨウ ・ は#leaf; plane; lobe; needle; blade; spear; counter for flat things; fragment; piece#kanji
伝#デン ・ テン ・ つた.わる ・ つた.える ・ つた.う ・ つだ.う ・ -づた.い ・ つて#transmit; go along; walk along; follow; report; communicate; legend; tradition#kanji
働#ドウ ・ リュク ・ リキ ・ ロク ・ リョク ・ はたら.く#work; (kokuji)#kanji
形#ケイ ・ ギョウ ・ かた ・ -がた ・ かたち ・ なり#shape; form; style#kanji
景#ケイ#scenery; view#kanji
落#ラク ・ お.ちる ・ お.ち ・ お.とす#fall; drop; come down; village; hamlet#kanji
好#コウ ・ この.む ・ す.く ・ よ.い ・ い.い#fond; pleasing; like something#kanji
退#タイ ・ しりぞ.く ・ しりぞ.ける ・ ひ.く ・ の.く ・ の.ける ・ ど.く#retreat; withdraw; retire; resign; repel; expel; reject#kanji
頭#トウ ・ ズ ・ ト ・ あたま ・ かしら ・ -がしら ・ かぶり#head; counter for large animals#kanji
負#フ ・ ま.ける ・ ま.かす ・ お.う#defeat; negative; -; minus; bear; owe; assume a responsibility#kanji
渡#ト ・ わた.る ・ -わた.る ・ わた.す#transit; ford; ferry; cross; import; deliver; diameter; migrate#kanji
失#シツ ・ うしな.う ・ う.せる#lose; error; fault; disadvantage; loss#kanji
差#サ ・ さ.す ・ さ.し#distinction; difference; variation; discrepancy; margin; balance#kanji
末#マツ ・ バツ ・ すえ#end; close; tip; powder; posterity#kanji
守#シュ ・ ス ・ まも.る ・ まも.り ・ もり ・ -もり ・ かみ#guard; protect; defend; obey#kanji
若#ジャク ・ ニャク ・ ニャ ・ わか.い ・ わか- ・ も.しくわ ・ も.し ・ も.しくは ・ ごと.し#young; if; perhaps; possibly; low number; immature#kanji
種#シュ ・ たね ・ -ぐさ#species; kind; class; variety; seed#kanji
美#ビ ・ ミ ・ うつく.しい#beauty; beautiful#kanji
命#メイ ・ ミョウ ・ いのち#fate; command; decree; destiny; life; appoint#kanji
福#フク#blessing; fortune; luck; wealth#kanji
望#ボウ ・ モウ ・ のぞ.む ・ もち#ambition; full moon; hope; desire; aspire to; expect#kanji
非#ヒ ・ あら.ず#un-; mistake; negative; injustice; non-#kanji
観#カン ・ み.る ・ しめ.す#outlook; look; appearance; condition; view#kanji
察#サツ#guess; presume; surmise; judge; understand#kanji
段#ダン ・ タン#grade; steps; stairs#kanji
横#オウ ・ よこ#sideways; side; horizontal; width; woof#kanji
深#シン ・ ふか.い ・ -ぶか.い ・ ふか.まる ・ ふか.める ・ み-#deep; heighten; intensify; strengthen#kanji
申#シン ・ もう.す ・ もう.し- ・ さる#have the honor to; sign of the monkey; 3-5PM; ninth sign of Chinese zodiac#kanji
様#ヨウ ・ ショウ ・ さま ・ さん#Esq.; way; manner; situation; polite suffix#kanji
財#ザイ ・ サイ ・ ゾク ・ たから#property; money; wealth; assets#kanji
港#コウ ・ みなと#harbor#kanji
識#シキ ・ し.る ・ しる.す#discriminating; know; write#kanji
呼#コ ・ よ.ぶ#call; call out to; invite#kanji
達#タツ ・ ダ ・ -たち#accomplished; reach; arrive; attain#kanji
良#リョウ ・ よ.い ・ -よ.い ・ い.い ・ -い.い#good; pleasing; skilled#kanji
候#コウ ・ そうろう#climate; season; weather#kanji
程#テイ ・ ほど ・ -ほど#extent; degree; law; formula; distance; limits; amount#kanji
満#マン ・ バン ・ み.ちる ・ み.つ ・ み.たす#full; fullness; enough; satisfy#kanji
敗#ハイ ・ やぶ.れる#failure; defeat; reversal#kanji
値#チ ・ ね ・ あたい#price; cost; value#kanji
突#トツ ・ カ ・ つ.く#stab; protruding; thrust; pierce; prick; collision; sudden#kanji
光#コウ ・ ひか.る ・ ひかり#ray; light#kanji
路#ロ ・ ル ・ -じ ・ みち#path; route; road; distance#kanji
科#カ#department; course; section#kanji
積#セキ ・ つ.む ・ -づ.み ・ つ.もる ・ つ.もり#volume; product (x*y); acreage; contents; pile up; stack; load; amass#kanji
他#タ ・ ほか#other; another; the others#kanji
処#ショ ・ ところ ・ -こ ・ お.る#dispose; manage; deal with; sentence; condemn; act; behave; place#kanji
太#タイ ・ タ ・ ふと.い ・ ふと.る#plump; thick; big around#kanji
客#キャク ・ カク#guest; visitor; customer; client#kanji
否#ヒ ・ いな ・ いや#negate; no; noes; refuse; decline; deny#kanji
師#シ ・ ス ・ もろもろ ・ なら.う#expert; teacher; master; model; exemplar; army (incl. counter); war#kanji
登#トウ ・ ト ・ ドウ ・ ショウ ・ チョウ ・ のぼ.る ・ あ.がる#ascend; climb up#kanji
易#エキ ・ イ ・ やさ.しい ・ やす.い#easy; ready to; simple; fortune-telling; divination#kanji
速#ソク ・ はや.い ・ はや- ・ はや.める ・ すみ.やか#quick; fast#kanji
存#ソン ・ ゾン#exist; suppose; be aware of; believe; feel#kanji
飛#ヒ ・ と.ぶ ・ と.ばす ・ -と.ばす#fly; skip (pages); scatter#kanji
殺#サツ ・ サイ ・ セツ ・ ころ.す ・ -ごろ.し ・ そ.ぐ#kill; murder; butcher; slice off; split; diminish; reduce; spoil#kanji
号#ゴウ ・ さけ.ぶ ・ よびな#nickname; number; item; title; pseudonym; name; call#kanji
単#タン ・ ひとえ#simple; one; single; merely#kanji
座#ザ ・ すわ.る#squat; seat; cushion; gathering; sit#kanji
破#ハ ・ やぶ.る ・ やぶ.れる ・ わ.れる#rend; rip; tear; break; destroy; defeat; frustrate#kanji
除#ジョ ・ ジ ・ のぞ.く ・ -よ.け#exclude; division (x/3); remove; abolish; cancel; except#kanji
完#カン#perfect; completion; end#kanji
降#コウ ・ ゴ ・ お.りる ・ お.ろす ・ ふ.る ・ ふ.り ・ くだ.る ・ くだ.す#descend; precipitate; fall; surrender#kanji
責#セキ ・ せ.める#blame; condemn; censure#kanji
捕#ホ ・ と.らえる ・ と.らわれる ・ と.る ・ とら.える ・ とら.われる ・ つか.まえる ・ つか.まる#catch; capture#kanji
危#キ ・ あぶ.ない ・ あや.うい ・ あや.ぶむ#dangerous; fear; uneasy#kanji
給#キュウ ・ たま.う ・ たも.う ・ -たま.え#salary; wage; gift; allow; grant; bestow on#kanji
苦#ク ・ くる.しい ・ -ぐる.しい ・ くる.しむ ・ くる.しめる ・ にが.い ・ にが.る#suffering; trial; worry; hardship; feel bitter; scowl#kanji
迎#ゲイ ・ むか.える#welcome; meet; greet#kanji
園#エン ・ その#park; garden; yard; farm#kanji
具#グ ・ そな.える ・ つぶさ.に#tool; utensil; means; possess; ingredients; counter for armor, suits, sets of furniture#kanji
辞#ジ ・ や.める ・ いな.む#resign; word; term; expression#kanji
因#イン ・ よ.る ・ ちな.む#cause; factor; be associated with; depend on; be limited to#kanji
馬#バ ・ うま ・ うま- ・ ま#horse#kanji
愛#アイ ・ いと.しい ・ かな.しい ・ め.でる ・ お.しむ ・ まな#love; affection; favourite#kanji
富#フ ・ フウ ・ と.む ・ とみ#wealth; enrich; abundant#kanji
彼#ヒ ・ かれ ・ かの ・ か.の#he; that; the#kanji
未#ミ ・ ビ ・ いま.だ ・ ま.だ ・ ひつじ#un-; not yet; hitherto; still; even now; sign of the ram; 1-3PM; eighth sign of Chinese zodiac#kanji
舞#ブ ・ ま.う ・ -ま.う ・ まい#dance; flit; circle; wheel#kanji
亡#ボウ ・ モウ ・ な.い ・ な.き- ・ ほろ.びる ・ ほろ.ぶ ・ ほろ.ぼす#deceased; the late; dying; perish#kanji
冷#レイ ・ つめ.たい ・ ひ.える ・ ひ.や ・ ひ.ややか ・ ひ.やす ・ ひ.やかす ・ さ.める ・ さ.ます#cool; cold (beer, person); chill#kanji
適#テキ ・ かな.う#suitable; occasional; rare; qualified; capable#kanji
婦#フ ・ よめ#lady; woman; wife; bride#kanji
寄#キ ・ よ.る ・ -よ.り ・ よ.せる#draw near; stop in; bring near; gather; collect; send; forward#kanji
込#-こ.む ・ こ.む ・ こ.み ・ -こ.み ・ こ.める#crowded; mixture; in bulk; included; (kokuji)#kanji
顔#ガン ・ かお#face; expression#kanji
類#ルイ ・ たぐ.い#sort; kind; variety; class; genus#kanji
余#ヨ ・ あま.る ・ あま.り ・ あま.す ・ あんま.り#too much; myself; surplus; other; remainder#kanji
王#オウ ・ -ノウ#king; rule; magnate#kanji
返#ヘン ・ かえ.す ・ -かえ.す ・ かえ.る ・ -かえ.る#return; answer; fade; repay#kanji
妻#サイ ・ つま#wife; spouse#kanji
背#ハイ ・ せ ・ せい ・ そむ.く ・ そむ.ける#stature; height; back; behind; disobey; defy; go back on; rebel#kanji
熱#ネツ ・ あつ.い#heat; temperature; fever; mania; passion#kanji
宿#シュク ・ やど ・ やど.る ・ やど.す#inn; lodging; relay station; dwell; lodge; be pregnant; home; dwelling#kanji
薬#ヤク ・ くすり#medicine; chemical; enamel; gunpowder; benefit#kanji
険#ケン ・ けわ.しい#precipitous; inaccessible place; impregnable position; steep place; sharp eyes#kanji
頼#ライ ・ たの.む ・ たの.もしい ・ たよ.る#trust; request#kanji
覚#カク ・ おぼ.える ・ さ.ます ・ さ.める ・ さと.る#memorize; learn; remember; awake; sober up#kanji
船#セン ・ ふね ・ ふな-#ship; boat#kanji
途#ト ・ みち#route; way; road#kanji
許#キョ ・ ゆる.す ・ もと#permit; approve#kanji
抜#バツ ・ ハツ ・ ハイ ・ ぬ.く ・ -ぬ.く ・ ぬ.き ・ ぬ.ける ・ ぬ.かす ・ ぬ.かる#slip out; extract; pull out; pilfer; quote; remove; omit#kanji
便#ベン ・ ビン ・ たよ.り#convenience#kanji
留#リュウ ・ ル ・ と.める ・ と.まる ・ とど.める ・ とど.まる ・ るうぶる#detain; fasten; halt; stop#kanji
罪#ザイ ・ つみ#guilt; sin; crime; fault; blame; offense#kanji
努#ド ・ つと.める#toil; diligent; as much as possible#kanji
精#セイ ・ ショウ ・ シヤウ#refined; ghost; fairy; energy; vitality; semen; excellence; purity; skill#kanji
散#サン ・ ち.る ・ ち.らす ・ -ち.らす ・ ち.らかす ・ ち.らかる ・ ばら#scatter; disperse; spend; squander#kanji
静#セイ ・ ジョウ ・ しず- ・ しず.か ・ しず.まる ・ しず.める#quiet#kanji
婚#コン#marriage#kanji
喜#キ ・ よろこ.ぶ ・ よろこ.ばす#rejoice; take pleasure in#kanji
浮#フ ・ う.く ・ う.かれる ・ う.かぶ ・ む ・ う.かべる#floating; float; rise to surface#kanji
絶#ゼツ ・ た.える ・ た.やす ・ た.つ#discontinue; beyond; sever; cut off; abstain; interrupt; suppress#kanji
幸#コウ ・ さいわ.い ・ さち ・ しあわ.せ#happiness; blessing; fortune#kanji
押#オウ ・ お.す ・ お.し- ・ お.っ- ・ お.さえる ・ おさ.える#push; stop; check; subdue; attach; seize; weight; shove; press; seal; do in spite of#kanji
倒#トウ ・ たお.れる ・ -だお.れ ・ たお.す ・ さかさま ・ さかさ ・ さかしま#overthrow; fall; collapse; drop; break down#kanji
等#トウ ・ ひと.しい ・ など ・ -ら#etc.; and so forth; class (first); quality; equal; similar#kanji
老#ロウ ・ お.いる ・ ふ.ける#old man; old age; grow old#kanji
曲#キョク ・ ま.がる ・ ま.げる ・ くま#bend; music; melody; composition; pleasure; injustice; fault; curve; crooked; perverse; lean#kanji
払#フツ ・ ヒツ ・ ホツ ・ はら.う ・ -はら.い ・ -ばら.い#pay; clear out; prune; banish; dispose of#kanji
庭#テイ ・ にわ#courtyard; garden; yard#kanji
徒#ト ・ いたずら ・ あだ#junior; emptiness; vanity; futility; uselessness; ephemeral thing; gang; set; party; people#kanji
勤#キン ・ ゴン ・ つと.める ・ -づと.め ・ つと.まる ・ いそ.しむ#diligence; become employed; serve#kanji
遅#チ ・ おく.れる ・ おく.らす ・ おそ.い#slow; late; back; later#kanji
居#キョ ・ コ ・ い.る ・ -い ・ お.る#reside; to be; exist; live with#kanji
雑#ザツ ・ ゾウ ・ まじ.える ・ まじ.る#miscellaneous#kanji
招#ショウ ・ まね.く#beckon; invite; summon; engage#kanji
困#コン ・ こま.る#quandary; become distressed; annoyed#kanji
欠#ケツ ・ ケン ・ か.ける ・ か.く#lack; gap; fail; yawning radical (no. 76)#kanji
